place,code,type,geo_id,tot_hholds,tot_schoolage,tot_hholds_both,tot_schoolage_both,perc_hholds_both,perc_schoolage_both,tot_hholds_computer,tot_schoolage_computer,perc_hholds_computer,perc_schoolage_computer,tot_hholds_neither,tot_schoolage_neither,perc_hholds_neither,perc_schoolage_neither,cohort,subject,year,value
Kentucky,KY,state,0400000US21,4330127,1004141,3715838,913754,85.8,91,283520,56686,6.5,5.6,320772,32401,7.4,3.2,2,reading,2019,262.9635373774
Kentucky,KY,state,0400000US21,4330127,1004141,3715838,913754,85.8,91,283520,56686,6.5,5.6,320772,32401,7.4,3.2,2,reading,2022,258.49198679453
Large City,NL,index,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,mathematics,2019,234.805292524873
Large City,NL,index,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,mathematics,2022,226.555180372609
Large City,NL,index,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,mathematics,2019,274.234994470656
Large City,NL,index,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,mathematics,2022,266.454801271018
Large City,NL,index,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,reading,2019,211.662732855069
Large City,NL,index,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,reading,2022,208.9402038835
Large City,NL,index,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,reading,2019,254.74055369282
Large City,NL,index,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,reading,2022,254.942542213873
Los Angeles,XL,city,9700000US0622710,4628591,985836,4086155,887872,88.3,90.1,328666,72603,7.1,7.4,207263,24318,4.5,2.5,1,mathematics,2019,223.625880996386
