name,code,type,cohort,subject,year,value
Vermont,VT,state,1,mathematics,2022,234.294361311545
Vermont,VT,state,2,mathematics,2019,286.603416708406
Vermont,VT,state,2,mathematics,2022,276.46389349941
Vermont,VT,state,1,reading,2019,221.825911338781
Vermont,VT,state,1,reading,2022,216.982897590298
Vermont,VT,state,2,reading,2019,268.481107043375
Vermont,VT,state,2,reading,2022,263.779222922225
Virginia,VA,state,1,mathematics,2019,246.88947954089
Virginia,VA,state,1,mathematics,2022,236.356488308729
Virginia,VA,state,2,mathematics,2019,287.060200768469
Virginia,VA,state,2,mathematics,2022,279.171622575254
Virginia,VA,state,1,reading,2019,223.641834613407
Virginia,VA,state,1,reading,2022,214.035607766354
Virginia,VA,state,2,reading,2019,261.798121159611
Virginia,VA,state,2,reading,2022,259.551310888157
Washington,WA,state,1,mathematics,2019,239.510817473469
Washington,WA,state,1,mathematics,2022,234.932798634431
Washington,WA,state,2,mathematics,2019,285.807107019211
Washington,WA,state,2,mathematics,2022,276.080305359728
Washington,WA,state,1,reading,2019,219.692800380164
Washington,WA,state,1,reading,2022,216.690692889093
Washington,WA,state,2,reading,2019,266.277038164971
Washington,WA,state,2,reading,2022,261.539145444344
West Virginia,WV,state,1,mathematics,2019,231.496137336298
West Virginia,WV,state,1,mathematics,2022,225.967562111513
West Virginia,WV,state,2,mathematics,2019,272.349307597102
West Virginia,WV,state,2,mathematics,2022,260.387466246551
West Virginia,WV,state,1,reading,2019,213.184518276667
West Virginia,WV,state,1,reading,2022,205.310453431884
West Virginia,WV,state,2,reading,2019,255.624126301159
West Virginia,WV,state,2,reading,2022,249.404708818444
Wisconsin,WI,state,1,mathematics,2019,241.671245223046
Wisconsin,WI,state,1,mathematics,2022,240.257786107227
Wisconsin,WI,state,2,mathematics,2019,288.660002957986
Wisconsin,WI,state,2,mathematics,2022,281.139616394597
Wisconsin,WI,state,1,reading,2019,219.704274445441
Wisconsin,WI,state,1,reading,2022,217.373606249923
Wisconsin,WI,state,2,reading,2019,267.383822656073
Wisconsin,WI,state,2,reading,2022,262.229783504344
Wyoming,WY,state,1,mathematics,2019,245.843439854955
Wyoming,WY,state,1,mathematics,2022,243.145741572247
Wyoming,WY,state,2,mathematics,2019,286.313953952443
Wyoming,WY,state,2,mathematics,2022,280.926498009233
Wyoming,WY,state,1,reading,2019,226.690277671218
Wyoming,WY,state,1,reading,2022,224.7935690166
Wyoming,WY,state,2,reading,2019,264.64162610574
Wyoming,WY,state,2,reading,2022,260.767448966272
National,NT,index,1,mathematics,2019,240.526149981042
National,NT,index,1,mathematics,2022,235.956261835704
National,NT,index,2,mathematics,2019,282.001859415618
National,NT,index,2,mathematics,2022,274.266213337059
National,NT,index,1,reading,2019,220.474059149004
National,NT,index,1,reading,2022,217.494490502989
National,NT,index,2,reading,2019,263.149657191501
National,NT,index,2,reading,2022,260.46922366966
National Public,NP,index,1,mathematics,2019,240.003829218706
National Public,NP,index,1,mathematics,2022,234.858970982728
National Public,NP,index,2,mathematics,2019,280.986598557657
National Public,NP,index,2,mathematics,2022,273.132228606731
National Public,NP,index,1,reading,2019,219.440029789958
National Public,NP,index,1,reading,2022,216.113410808617
National Public,NP,index,2,reading,2019,261.998327054824
National Public,NP,index,2,reading,2022,259.107725192642
Large City,NL,index,1,mathematics,2019,234.805292524873
Large City,NL,index,1,mathematics,2022,226.555180372609
Large City,NL,index,2,mathematics,2019,274.234994470656
Large City,NL,index,2,mathematics,2022,266.454801271018
Large City,NL,index,1,reading,2019,211.662732855069
Large City,NL,index,1,reading,2022,208.9402038835
Large City,NL,index,2,reading,2019,254.74055369282
Large City,NL,index,2,reading,2022,254.942542213873
New York City,XN,city,1,mathematics,2019,230.818983508824
New York City,XN,city,1,mathematics,2022,221.920746368931
New York City,XN,city,2,mathematics,2019,272.944159686306
New York City,XN,city,2,mathematics,2022,268.898240321509
New York City,XN,city,1,reading,2019,212.025194667262
New York City,XN,city,1,reading,2022,210.883799835917
New York City,XN,city,2,reading,2019,254.413537475074
New York City,XN,city,2,reading,2022,255.161479920559
Los Angeles,XL,city,1,mathematics,2019,223.625880996386
Los Angeles,XL,city,1,mathematics,2022,219.906370802882
Los Angeles,XL,city,2,mathematics,2019,260.665979473403
Los Angeles,XL,city,2,mathematics,2022,262.398250084099
Los Angeles,XL,city,1,reading,2019,204.913366450083
Los Angeles,XL,city,1,reading,2022,207.111490418189
Los Angeles,XL,city,2,reading,2019,247.883043798599
Los Angeles,XL,city,2,reading,2022,257.27769094107
Chicago,XC,city,1,mathematics,2019,232.494268307733
Chicago,XC,city,1,mathematics,2022,222.201410549371
